table,original_name,import,ossl_name,original_description,data_type,units,comment
mgp_perbiogeosample,flSatx,,,Florine in the saturation extract from the <2 mm fraction,real,millimolesPerLiter,
mgp_perbiogeosample,waterSatx,,,Water content on a mass basis of the saturation extract from the <2 mm fraction,real,percent,
mgp_perbiogeosample,hco3Sx,,,Bicarbonate in the saturation extract from the <2 mm fraction,real,millimolesPerLiter,
mgp_perbiogeosample,kSatx,,,Potassium in the saturation extract from the <2 mm fraction,real,millimolesPerLiter,
mgp_perbiogeosample,mgSatx,,,Magnesium in the saturation extract from the <2 mm fraction,real,millimolesPerLiter,
mgp_perbiogeosample,naSatx,,,Sodium in the saturation extract from the <2 mm fraction,real,millimolesPerLiter,
mgp_perbiogeosample,no2Satx,,,Nitrite in the saturation extract from the <2 mm fraction,real,millimolesPerLiter,
mgp_perbiogeosample,no3Satx,,,Nitrate in the saturation extract from the <2 mm fraction,real,millimolesPerLiter,
mgp_perbiogeosample,pSatx,,,Phosphate in the saturation extract from the <2 mm fraction,real,millimolesPerLiter,
mgp_perbiogeosample,phSp,,,pH of the saturation extract from the <2 mm fraction,real,pH,
mgp_perbiogeosample,resist,,,Resistivity of the saturation extract from the <2 mm fraction,real,siemensPerCentimeter,
mgp_perbiogeosample,so4Satx,,,Sulfate in the saturation extract from the <2 mm fraction,real,millimolesPerLiter,
mgp_perbiogeosample,laboratoryName,,,Name of the laboratory or facility that is processing the sample,string,NA,
mgp_perbiogeosample,labProjID,,,Identifier for soil physical properties analyses,string,NA,
mgp_perbiogeosample,biogeoTopDepth,,,Top depth of the biogeochemistry sample,real,centimeter,
mgp_perbiogeosample,biogeoBottomDepth,,,Bottom depth of the biogeochemistry sample,real,centimeter,
mgp_perbiogeosample,biogeoCenterDepth,,,Depth of the center of the biogeochemistry sample,real,centimeter,
mgp_perbiogeosample,remarks,,,Technician notes; free text comments accompanying the record,string,NA,
mgp_perbulksample,uid,,,Unique ID within NEON database; an identifier for the record,string,NA,
mgp_perbulksample,domainID,,,Unique identifier of the NEON domain,string,NA,
mgp_perbulksample,siteID,,,NEON site code,string,NA,
mgp_perbulksample,pitNamedLocation,,,Named location identifier for the soil pit,string,NA,
mgp_perbulksample,pitID,,,An identifier for the soil pit,string,NA,
mgp_perbulksample,horizonID,,,An identifier for the soil horizon,string,NA,
mgp_perbulksample,bulkDensID,,,Identifier for bulk density sample,string,NA,
mgp_perbulksample,horizonName,,,Soil horizon name,string,NA,
mgp_perbulksample,setDate,,,Date that trap was set,dateTime,NA,
mgp_perbulksample,collectDate,,,Date of the collection event,dateTime,NA,
mgp_perbulksample,laboratoryName,,,Name of the laboratory or facility that is processing the sample,string,NA,
mgp_perbulksample,labProjID,,,Identifier for soil physical properties analyses,string,NA,
mgp_perbulksample,bulkDensCenterDepth,,,Depth of the vertical center of the bulk sample below the soil surface,real,centimeter,
mgp_perbulksample,bulkDensTopDepth,,,Top depth of the bulk density sample,real,centimeter,
mgp_perbulksample,bulkDensBottomDepth,,,Bottom depth of the bulk density sample,real,centimeter,
mgp_perbulksample,bulkDensHorizonProportion,,,Proportion of horizon represented by bulk density sample on a volume basis,real,proportion,
mgp_perbulksample,bulkDensSampleType,,,Type of bulk density sample,string,NA,
mgp_perbulksample,bulkDensExclCoarseFrag,,,Bulk density of soil excluding coarse fragments (>2 mm),real,gramsPerCubicCentimeter,
mgp_perbulksample,remarks,,,Technician notes; free text comments accompanying the record,string,NA,
