sample_id,tc,tn,ph_h2o,ph_kcl,ph_cacl2,clay_0-0.002,silt_0.002-0.05,silt_0.002-0.063,sand_0.05-2,sand_0.063-2,al_icp,fe_icp,ca_icp,mg_icp,k_icp,mn_icp,na_icp,p_icp
lil_2x_mcmc_50,6.409,0.557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lil_2x_mcmc_20,13.47,1.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lil_1x_mcar_50,5.744,0.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lil_1x_mcar_20,14.63,1.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lil_1x_mcrz_50,6.219,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lil_1x_mcrz_20,10.39,0.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lil_1x_mcms_50,7.591,0.687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lil_1x_mcmc_50,7.924,0.632,NA,NA,NA,NA,NA,NA,NA,NA,6.4826494,15.7387158,76.5667253,51.0444836,62.3877021,21.2685348,4.4919146,102.0889671
lil_1x_mcmc_20,11.35,0.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_s2_rzrz_50,5.186,0.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_s2_rzrz_20,16.38,1.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N_YO_mix_0_5_1,17.626,1.153,NA,NA,NA,NA,NA,NA,NA,NA,8.2237078,7.8844459,54.2818995,76.8993576,93.7531335,22.6174581,5.0135365,131.1812571
N_YO_mix_5_20_1,8.474,0.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N_YO_mix_0_5_2,18.049,1.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N_YO_mix_5_20_2,7.82,0.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N_YO_mix_0_5_3,18.358,1.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N_YO_mix_5_20_3,8.544,0.661,NA,NA,NA,NA,NA,NA,NA,NA,11.7855068,9.9331752,22.6354164,79.2239573,98.8476058,22.6354164,6.9541029,113.1770819
N_YO_mono_0_5_1,25.648,1.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N_YO_mono_5_20_1,12.06,0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N_YO_mono_0_5_2,22.108,1.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N_YO_mono_5_20_2,14.142,0.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N_YO_mono_0_5_3,22.474,1.406,NA,NA,NA,NA,NA,NA,NA,NA,14.8021108,12.1939314,63.3245383,205.8047493,210.5,31.6622691,9,126.6490765
N_YO_mono_5_20_3,12.069,0.768,NA,NA,NA,NA,NA,NA,NA,NA,15.3574001,13.0471129,44.5142031,218.1195954,200.7189934,31.1599422,7.9888157,115.7369282
S_KB_0_15_1,70.874,6.976,6.08,NA,NA,9.59,62.21,NA,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_KB_0_15_2,50.057,5.227,6.08,NA,NA,5.03,39.27,NA,55.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_KB_0_15_3,78.064,6.946,6.08,NA,NA,5.53,39.87,NA,54.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
