table,original_name,import,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name,comment
FR556::1_Pre-harvest soil chemistry,Sampling Date,NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Sampling position ID,NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Sampling Method,NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Depth increment (cm),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,No. Bulked Samples,NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Soil size class fraction,NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Sample thickness (cm),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Sample Type,NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Comment,NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,pH,TRUE,ph.h2o,usda.a268,index,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ph.h2o_usda.a268_index,NA
FR556::1_Pre-harvest soil chemistry,Total C (%),TRUE,c.tot,usda.a622,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",c.tot_usda.a622_w.pct,NA
FR556::1_Pre-harvest soil chemistry,Total N (%),TRUE,n.tot,usda.a623,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",n.tot_usda.a623_w.pct,NA
FR556::1_Pre-harvest soil chemistry,C/N,NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total P (mg/kg)...19,NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Bray P (mg/kg) seq 1,NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Bray P (mg/kg) seq 2,NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Bray P (mg/kg) seq 3,NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Ex. Ca          (cmol/kg),TRUE,ca.ext,usda.a722,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ca.ext_usda.a722_cmolc.kg,NA
