table,original_name,import,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name,comment
FR380_chemical,Lab 4_Total As (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total Se (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total Sr (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total Cd (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total Ba (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total Tl (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total Pb (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total U (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR531::4_Time zero soil bulk density,Site,NA,NA,NA,NA,NA,NA,NA
FR531::4_Time zero soil bulk density,Trial ID,NA,NA,NA,NA,NA,NA,NA
FR531::4_Time zero soil bulk density,PSP ID,NA,NA,NA,NA,NA,NA,NA
FR531::4_Time zero soil bulk density,Sampling Date,NA,NA,NA,NA,NA,NA,NA
FR531::4_Time zero soil bulk density,Method,NA,NA,NA,NA,NA,NA,NA
FR531::4_Time zero soil bulk density,Depth increment (cm),NA,NA,NA,NA,NA,NA,NA
FR531::4_Time zero soil bulk density,Sample thickness (cm),NA,NA,NA,NA,NA,NA,NA
FR531::4_Time zero soil bulk density,No. Bulked Samples,NA,NA,NA,NA,NA,NA,NA
FR531::4_Time zero soil bulk density,Area (cm2),NA,NA,NA,NA,NA,NA,NA
FR531::4_Time zero soil bulk density,Vol. Total (cm3),NA,NA,NA,NA,NA,NA,NA
FR531::4_Time zero soil bulk density,Bulk density (<2 mm) (g/cm3),TRUE,bd,usda.a4,g.cm3,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",bd_usda.a4_g.cm3,NA
FR531::4_Time zero soil bulk density,Bulk density (>2 mm) (g/cm3),NA,NA,NA,NA,NA,NA,NA
FR531::4_Time zero soil bulk density,Total bulk density (g/cm3),NA,NA,NA,NA,NA,NA,NA
FR531::4_Time zero soil bulk density,Bulk density dead organic material >2mm (g/cm3),NA,NA,NA,NA,NA,NA,NA
FR531::4_Time zero soil bulk density,Comment,NA,NA,NA,NA,NA,NA,NA
FR531::3_Time zero soil chemistry,Site,NA,NA,NA,NA,NA,NA,NA
FR531::3_Time zero soil chemistry,Trial ID,NA,NA,NA,NA,NA,NA,NA
FR531::3_Time zero soil chemistry,PSP ID,NA,NA,NA,NA,NA,NA,NA
FR531::3_Time zero soil chemistry,Lab Job No.,NA,NA,NA,NA,NA,NA,NA
FR531::3_Time zero soil chemistry,Lab ID,NA,NA,NA,NA,NA,NA,NA
FR531::3_Time zero soil chemistry,Sampling Date,NA,NA,NA,NA,NA,NA,NA
FR531::3_Time zero soil chemistry,Method,NA,NA,NA,NA,NA,NA,NA
FR531::3_Time zero soil chemistry,Depth increment (cm),NA,NA,NA,NA,NA,NA,NA
FR531::3_Time zero soil chemistry,No. Bulked Samples,NA,NA,NA,NA,NA,NA,NA
FR531::3_Time zero soil chemistry,Size Class,NA,NA,NA,NA,NA,NA,NA
FR531::3_Time zero soil chemistry,Sample thickness (cm),NA,NA,NA,NA,NA,NA,NA
FR531::3_Time zero soil chemistry,Total C (%),TRUE,c.tot,usda.a622,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",c.tot_usda.a622_w.pct,NA
FR531::3_Time zero soil chemistry,Total N (%),TRUE,n.tot,usda.a623,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",n.tot_usda.a623_w.pct,NA
FR531::3_Time zero soil chemistry,C/N,NA,NA,NA,NA,NA,NA,NA
FR531::3_Time zero soil chemistry,Comment,NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Site,NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Trial ID,NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,PSP ID,NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Lab Job No.,NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Lab ID,NA,NA,NA,NA,NA,NA,NA
